"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"ARI202007300","LAN",1,0,0,3,1,"CBBBB",0,0,"bettm001","R","bettm001","R","ray-r002","L","ray-r002","L","kellc002","walkc002","martk001","escoe001","ahmen001","perad001","marts002","calhk001","","","","W","T","F",9,1,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1
"ARI202007300","LAN",1,0,0,1,0,"BX",0,0,"muncm001","L","muncm001","L","ray-r002","L","ray-r002","L","kellc002","walkc002","martk001","escoe001","ahmen001","perad001","marts002","calhk001","bettm001","","","S39/G34.1-3","F","F",3,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",3,"G","F","F","34",0,0,"N",0,"N",0,"N",1,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","ray-r002","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2
"ARI202007300","LAN",1,0,0,1,0,"BX",0,0,"turnj001","R","turnj001","R","ray-r002","L","ray-r002","L","kellc002","walkc002","martk001","escoe001","ahmen001","perad001","marts002","calhk001","muncm001","","bettm001","9/SF/L9LD.3-H","F","F",5,3,2,"T","F",0,"F","T",1,"F","F",1,"F","F",9,"L","F","F","9LD",0,0,"N",0,"N",0,"N",0,1,0,4,"9","","","","F","F","F","F","F","F","F","F","F","ray-r002","","ray-r002","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,3
"ARI202007300","LAN",1,0,1,1,0,"1BX",1,0,"bellc002","L","bellc002","L","ray-r002","L","ray-r002","L","kellc002","walkc002","martk001","escoe001","ahmen001","perad001","marts002","calhk001","muncm001","","","8/F8","F","F",8,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","8",0,0,"N",0,"N",0,"N",0,1,0,0,"8","","","","F","F","F","F","F","F","F","F","F","ray-r002","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,4
"ARI202007300","LAN",1,0,2,1,1,"BCX",1,0,"polla001","R","polla001","R","ray-r002","L","ray-r002","L","kellc002","walkc002","martk001","escoe001","ahmen001","perad001","marts002","calhk001","muncm001","","","HR/F7D.1-H","F","F",7,5,23,"T","T",4,"F","F",0,"F","F",2,"F","F",0,"F","F","F","7D",0,0,"N",0,"N",0,"N",4,4,0,0,"","","","","F","F","F","F","F","F","F","F","F","ray-r002","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"ARI202007300","LAN",1,0,2,3,2,"BBSBCC",3,0,"taylc001","R","taylc001","R","ray-r002","L","ray-r002","L","kellc002","walkc002","martk001","escoe001","ahmen001","perad001","marts002","calhk001","","","","K","F","F",6,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,6
"ARI202007300","LAN",1,1,0,1,1,"CBX",3,0,"martk001","L","martk001","L","strir001","R","strir001","R","smitw003","muncm001","herne001","turnj001","taylc001","polla001","bellc002","bettm001","","","","S9/L89","T","F",4,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"L","F","F","89",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7
"ARI202007300","LAN",1,1,0,0,0,"X",3,0,"calhk001","L","calhk001","L","strir001","R","strir001","R","smitw003","muncm001","herne001","turnj001","taylc001","polla001","bellc002","bettm001","martk001","","","8/F89XD","F","F",9,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","89XD",0,0,"N",0,"N",0,"N",0,1,0,0,"8","","","","F","F","F","F","F","F","F","F","F","strir001","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,8
"ARI202007300","LAN",1,1,1,3,2,"CSBFFFFBFFBFF>X",3,0,"marts002","R","marts002","R","strir001","R","strir001","R","smitw003","muncm001","herne001","turnj001","taylc001","polla001","bellc002","bettm001","martk001","","","8/F89","F","F",8,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","89",0,0,"N",0,"N",0,"N",0,1,0,0,"8","","","","F","F","F","F","F","F","F","F","F","strir001","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,9
"ARI202007300","LAN",1,1,2,1,0,"BX",3,0,"escoe001","L","escoe001","L","strir001","R","strir001","R","smitw003","muncm001","herne001","turnj001","taylc001","polla001","bellc002","bettm001","martk001","","","6/L4MD","F","F",5,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"L","F","F","4MD",0,0,"N",0,"N",0,"N",0,1,0,0,"6","","","","F","F","F","F","F","F","F","F","F","strir001","","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,10
