"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"BOS202007240","BAL",1,0,0,0,1,"CX",0,0,"haysa001","R","haysa001","R","eovan001","R","eovan001","R","vazqc001","chavm001","peraj003","dever001","bogax001","benia002","bradj001","pillk001","","","","9/L+","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,1
"BOS202007240","BAL",1,0,1,0,1,"FX",0,0,"santa003","L","santa003","L","eovan001","R","eovan001","R","vazqc001","chavm001","peraj003","dever001","bogax001","benia002","bradj001","pillk001","","","","13/G","F","F",9,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,2
"BOS202007240","BAL",1,0,2,3,2,"BBFCBFFFFX",0,0,"iglej001","R","iglej001","R","eovan001","R","eovan001","R","vazqc001","chavm001","peraj003","dever001","bogax001","benia002","bradj001","pillk001","","","","43/G+","F","F",6,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,3
"BOS202007240","BAL",1,1,0,3,2,"FBCBBX",0,0,"benia002","L","benia002","L","milot001","L","milot001","L","sevep001","davic003","albeh001","ruizr002","iglej001","stewd002","haysa001","santa003","","","","43/G","T","F",7,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,4
"BOS202007240","BAL",1,1,1,3,1,"BSBBB",0,0,"martj006","R","martj006","R","milot001","L","milot001","L","sevep001","davic003","albeh001","ruizr002","iglej001","stewd002","haysa001","santa003","","","","W","F","F",10,2,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"BOS202007240","BAL",1,1,1,0,2,"CFS",0,0,"dever001","L","dever001","L","milot001","L","milot001","L","sevep001","davic003","albeh001","ruizr002","iglej001","stewd002","haysa001","santa003","martj006","","","K","F","F",5,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","milot001","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,6
"BOS202007240","BAL",1,1,2,0,2,"CSS",0,0,"bogax001","R","bogax001","R","milot001","L","milot001","L","sevep001","davic003","albeh001","ruizr002","iglej001","stewd002","haysa001","santa003","martj006","","","K","F","F",6,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","milot001","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,7
"BOS202007240","BAL",2,0,0,0,1,"CX",0,0,"nuner001","R","nuner001","R","eovan001","R","eovan001","R","vazqc001","chavm001","peraj003","dever001","bogax001","benia002","bradj001","pillk001","","","","13/G","T","F",10,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,8
"BOS202007240","BAL",2,0,1,0,1,"CX",0,0,"davic003","L","davic003","L","eovan001","R","eovan001","R","vazqc001","chavm001","peraj003","dever001","bogax001","benia002","bradj001","pillk001","","","","43/G","F","F",3,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,9
"BOS202007240","BAL",2,0,2,1,1,"BCX",0,0,"albeh001","R","albeh001","R","eovan001","R","eovan001","R","vazqc001","chavm001","peraj003","dever001","bogax001","benia002","bradj001","pillk001","","","","S7/G","F","F",4,6,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10
