"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"CHA202007240","MIN",1,0,0,0,0,"X",0,0,"keplm001","L","keplm001","L","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","","","","HR/F9","T","F",9,1,23,"T","T",4,"F","F",0,"F","F",1,"F","F",0,"F","F","F","9",0,0,"N",0,"N",0,"N",4,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1
"CHA202007240","MIN",1,0,0,3,2,"BSBBCB",1,0,"donaj001","R","donaj001","R","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","","","","W","F","F",5,2,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2
"CHA202007240","MIN",1,0,0,0,0,"X",1,0,"polaj001","L","polaj001","L","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","donaj001","","","64(1)/FO/G+.B-1","F","F",6,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","64","","","F","F","F","F","F","F","F","F","F","gioll001","","","F","F","F","F","F","","","","",0,4,0,0,6,0,0,0,0,3
"CHA202007240","MIN",1,0,1,0,2,"FSX",1,0,"cruzn002","R","cruzn002","R","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","polaj001","","","S4/G.1-2","F","F",10,4,20,"T","T",1,"F","F",0,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","gioll001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4
"CHA202007240","MIN",1,0,1,1,0,"BB",1,0,"rosae001","L","rosae001","L","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","cruzn002","polaj001","","WP.2-3;1-2","F","F",7,5,9,"F","F",0,"F","F",0,"F","F",0,"T","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,3,0,"","","","","F","F","F","F","F","F","F","F","F","gioll001","gioll001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"CHA202007240","MIN",1,0,1,3,1,"BB.BCB",1,0,"rosae001","L","rosae001","L","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","","cruzn002","polaj001","W","F","F",7,5,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,3,"","","","","F","F","F","F","F","F","F","F","F","","gioll001","gioll001","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6
"CHA202007240","MIN",1,0,1,3,2,".CBBFFFBFX",1,0,"garvm001","R","garvm001","R","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","rosae001","cruzn002","polaj001","9/SF/F.3-H;2-3;1-2","F","F",2,6,2,"T","F",0,"F","T",1,"F","F",1,"F","F",9,"F","F","F","",0,0,"N",0,"N",0,"N",0,2,3,4,"9","","","","F","F","F","F","F","F","F","F","F","gioll001","gioll001","gioll001","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,7
"CHA202007240","MIN",1,0,2,0,0,"X",2,0,"cavej001","L","cavej001","L","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","","rosae001","cruzn002","S8/G+.3-H;2-H","F","F",8,7,20,"T","T",1,"F","F",0,"F","F",2,"F","F",8,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,4,4,"","","","","F","F","F","F","F","F","F","F","F","","gioll001","gioll001","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"CHA202007240","MIN",1,0,2,2,2,"FBFBS",4,0,"sanom001","R","sanom001","R","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","cavej001","","","K","F","F",3,8,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","gioll001","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9
"CHA202007240","MIN",1,1,0,1,1,"CBX",4,0,"andet001","R","andet001","R","berrj001","R","berrj001","R","garvm001","sanom001","arral001","donaj001","polaj001","rosae001","cavej001","keplm001","","","","S57/G","T","F",6,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10
"CHA202007240","MIN",1,1,0,0,1,"CX",4,0,"moncy001","L","moncy001","L","berrj001","R","berrj001","R","garvm001","sanom001","arral001","donaj001","polaj001","rosae001","cavej001","keplm001","andet001","","","D7/G.1-3","F","F",5,2,21,"T","T",2,"F","F",0,"F","F",0,"F","F",7,"G","F","F","",0,0,"N",0,"N",0,"N",2,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","berrj001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,11
"CHA202007240","MIN",1,1,0,2,2,"FSFFBF*BX",4,0,"abrej003","R","abrej003","R","berrj001","R","berrj001","R","garvm001","sanom001","arral001","donaj001","polaj001","rosae001","cavej001","keplm001","","moncy001","andet001","43/G+.3-H;2-3","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",1,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,3,4,"43","","","","F","F","F","F","F","F","F","F","F","","berrj001","berrj001","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,12
"CHA202007240","MIN",1,1,1,0,0,"X",4,1,"grany001","L","grany001","L","berrj001","R","berrj001","R","garvm001","sanom001","arral001","donaj001","polaj001","rosae001","cavej001","keplm001","","","moncy001","43/G","F","F",2,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"43","","","","F","F","F","F","F","F","F","F","F","","","berrj001","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,13
"CHA202007240","MIN",1,1,2,0,2,"SFFFX",4,1,"encae001","R","encae001","R","berrj001","R","berrj001","R","garvm001","sanom001","arral001","donaj001","polaj001","rosae001","cavej001","keplm001","","","moncy001","6/L","F","F",10,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,3,"6","","","","F","F","F","F","F","F","F","F","F","","","berrj001","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,14
"CHA202007240","MIN",2,0,0,0,2,"CSFX",4,1,"arral001","L","arral001","L","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","","","","31/G","T","F",4,9,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"31","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,1,0,0,3,0,0,0,0,15
"CHA202007240","MIN",2,0,1,2,2,"BBSFFFFX",4,1,"keplm001","L","keplm001","L","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","","","","HR/L89","F","F",9,1,23,"T","T",4,"F","F",0,"F","F",1,"F","F",0,"L","F","F","89",0,0,"N",0,"N",0,"N",4,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,16
"CHA202007240","MIN",2,0,1,0,0,"X",5,1,"donaj001","R","donaj001","R","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","","","","31/G","F","F",5,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"31","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,1,0,0,3,0,0,0,0,17
"CHA202007240","MIN",2,0,2,1,0,"BX",5,1,"polaj001","L","polaj001","L","gioll001","R","gioll001","R","grany001","abrej003","garcl004","moncy001","andet001","jimee001","robel002","delmn001","","","","9/F","F","F",6,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,18
