"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"CHN202007240","MIL",1,0,0,0,1,"CX",0,0,"sogae001","L","sogae001","L","hendk001","R","hendk001","R","contw001","rizza001","hoern001","bryak001","baezj001","schwk001","happi001","heywj001","","","","7/F","T","F",5,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,1
"CHN202007240","MIL",1,0,1,2,0,"BBX",0,0,"yelic001","L","yelic001","L","hendk001","R","hendk001","R","contw001","rizza001","hoern001","bryak001","baezj001","schwk001","happi001","heywj001","","","","13/G-","F","F",7,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,2
"CHN202007240","MIL",1,0,2,0,2,"CSS",0,0,"hiurk001","R","hiurk001","R","hendk001","R","hendk001","R","contw001","rizza001","hoern001","bryak001","baezj001","schwk001","happi001","heywj001","","","","K","F","F",4,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,3
"CHN202007240","MIL",1,1,0,3,2,"SFBBFFFBFX",0,0,"bryak001","R","bryak001","R","woodb005","R","woodb005","R","narvo001","smoaj001","hiurk001","sogae001","arcio002","yelic001","cainl001","garca003","","","","8/F","T","F",5,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,4
"CHN202007240","MIL",1,1,1,3,0,"BBBB",0,0,"rizza001","L","rizza001","L","woodb005","R","woodb005","R","narvo001","smoaj001","hiurk001","sogae001","arcio002","yelic001","cainl001","garca003","","","","W","F","F",3,2,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"CHN202007240","MIL",1,1,1,0,1,"FX",0,0,"baezj001","R","baezj001","R","woodb005","R","woodb005","R","narvo001","smoaj001","hiurk001","sogae001","arcio002","yelic001","cainl001","garca003","rizza001","","","46(1)3/GDP/G+","F","F",6,3,2,"T","T",0,"F","F",2,"T","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","46","","","F","F","F","F","F","F","F","F","F","woodb005","","","F","F","F","F","F","","","","",0,6,3,0,4,6,0,0,0,6
"CHN202007240","MIL",2,0,0,1,2,"CBFS",0,0,"smoaj001","L","smoaj001","L","hendk001","R","hendk001","R","contw001","rizza001","hoern001","bryak001","baezj001","schwk001","happi001","heywj001","","","","K","T","F",3,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,7
"CHN202007240","MIL",2,0,1,0,2,"CSFX",0,0,"braur002","R","braur002","R","hendk001","R","hendk001","R","contw001","rizza001","hoern001","bryak001","baezj001","schwk001","happi001","heywj001","","","","9/L","F","F",10,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,8
"CHN202007240","MIL",2,0,2,2,2,"BFSBS",0,0,"garca003","R","garca003","R","hendk001","R","hendk001","R","contw001","rizza001","hoern001","bryak001","baezj001","schwk001","happi001","heywj001","","","","K","F","F",9,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9
"CHN202007240","MIL",2,1,0,2,2,"BFBFFX",0,0,"schwk001","L","schwk001","L","woodb005","R","woodb005","R","narvo001","smoaj001","hiurk001","sogae001","arcio002","yelic001","cainl001","garca003","","","","S5/G","T","F",7,4,20,"T","T",1,"F","F",0,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10
