"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"CLE202007240","KCA",1,0,0,1,2,"FBFFFH",0,0,"merrw001","R","merrw001","R","biebs001","R","biebs001","R","perer003","santc002","hernc005","ramij003","lindf001","luplj001","merco003","santd002","","","","HP","T","F",9,1,16,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1
"CLE202007240","KCA",1,0,0,1,2,"CC*B1X",0,0,"mondr003","L","mondr003","L","biebs001","R","biebs001","R","perer003","santc002","hernc005","ramij003","lindf001","luplj001","merco003","santd002","merrw001","","","35(1)/FO/G.B-1","F","F",6,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","35","","","F","F","F","F","F","F","F","F","F","biebs001","","","F","F","F","F","F","","","","",0,5,0,0,3,0,0,0,0,2
"CLE202007240","KCA",1,0,1,1,0,"*B>B",0,0,"solej001","R","solej001","R","biebs001","R","biebs001","R","perer003","santc002","hernc005","ramij003","lindf001","luplj001","merco003","santd002","mondr003","","","CS2(24)","F","F",10,3,6,"F","F",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"","24","","","F","F","F","T","F","F","F","F","F","biebs001","","","F","F","F","F","F","","","","",0,4,0,0,2,0,0,0,0,3
"CLE202007240","KCA",1,0,2,3,0,"*B>B.BB",0,0,"solej001","R","solej001","R","biebs001","R","biebs001","R","perer003","santc002","hernc005","ramij003","lindf001","luplj001","merco003","santd002","","","","W","F","F",10,3,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4
"CLE202007240","KCA",1,0,2,0,0,"X",0,0,"peres002","R","peres002","R","biebs001","R","biebs001","R","perer003","santc002","hernc005","ramij003","lindf001","luplj001","merco003","santd002","solej001","","","S8/G+.1-2","F","F",2,4,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"G","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","biebs001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"CLE202007240","KCA",1,0,2,2,2,"B*B.FS*S",0,0,"gorda001","L","gorda001","L","biebs001","R","biebs001","R","perer003","santc002","hernc005","ramij003","lindf001","luplj001","merco003","santd002","peres002","solej001","","K.BX1(23)","F","F",7,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,2,0,"23","","","","F","F","F","F","F","F","F","F","F","biebs001","biebs001","","F","F","F","F","F","","","","",0,3,0,0,2,0,0,0,0,6
"CLE202007240","KCA",1,1,0,2,2,"BFBTX",0,0,"hernc005","R","hernc005","R","duffd001","L","duffd001","L","peres002","mcbrr001","lopen001","franm004","mondr003","gorda001","starb001","merrw001","","","","9/F","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,7
"CLE202007240","KCA",1,1,1,2,1,"FBBX",0,0,"ramij003","R","ramij003","R","duffd001","L","duffd001","L","peres002","mcbrr001","lopen001","franm004","mondr003","gorda001","starb001","merrw001","","","","D7/L","F","F",5,2,21,"T","T",2,"F","F",0,"F","F",0,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"CLE202007240","KCA",1,1,1,1,0,"*BX",0,0,"lindf001","R","lindf001","R","duffd001","L","duffd001","L","peres002","mcbrr001","lopen001","franm004","mondr003","gorda001","starb001","merrw001","","ramij003","","6/P","F","F",6,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"P","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"6","","","","F","F","F","F","F","F","F","F","F","","duffd001","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,9
"CLE202007240","KCA",1,1,2,2,2,"CSF*B*BC",0,0,"santc002","R","santc002","R","duffd001","L","duffd001","L","peres002","mcbrr001","lopen001","franm004","mondr003","gorda001","starb001","merrw001","","ramij003","","K","F","F",3,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","duffd001","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,10
