"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"COL202007310","SDN",1,0,0,0,2,"CFS",0,0,"tatif002","R","tatif002","R","grayj003","R","grayj003","R","woltt001","murpd006","mcmar001","arenn001","stort001","hills005","dahld001","blacc001","","","","K","T","F",6,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,1
"COL202007310","SDN",1,0,1,3,1,"BBBCX",0,0,"grist001","L","grist001","L","grayj003","R","grayj003","R","woltt001","murpd006","mcmar001","arenn001","stort001","hills005","dahld001","blacc001","","","","31/G3D+","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","3D",0,0,"N",0,"N",0,"N",0,0,0,0,"31","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,1,0,0,3,0,0,0,0,2
"COL202007310","SDN",1,0,2,2,1,"CBBX",0,0,"machm001","R","machm001","R","grayj003","R","grayj003","R","woltt001","murpd006","mcmar001","arenn001","stort001","hills005","dahld001","blacc001","","","","63/G6D+","F","F",5,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","6D",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,3
"COL202007310","SDN",1,1,0,2,2,"CSFBFBX",0,0,"dahld001","L","dahld001","L","richg002","R","richg002","R","hedga001","cronj001","profj001","machm001","tatif002","phamt001","grist001","myerw001","","","","9/L89XD","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"L","F","F","89XD",0,0,"N",0,"N",0,"N",0,0,0,0,"9","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,4
"COL202007310","SDN",1,1,1,0,1,"CX",0,0,"stort001","R","stort001","R","richg002","R","richg002","R","hedga001","cronj001","profj001","machm001","tatif002","phamt001","grist001","myerw001","","","","S8/L8D","F","F",6,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"L","F","F","8D",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"COL202007310","SDN",1,1,1,1,1,"B1SX",0,0,"blacc001","L","blacc001","L","richg002","R","richg002","R","hedga001","cronj001","profj001","machm001","tatif002","phamt001","grist001","myerw001","stort001","","","HR/L89XD.1-H","F","F",9,3,23,"T","T",4,"F","F",0,"F","F",2,"F","F",0,"L","F","F","89XD",0,0,"N",0,"N",0,"N",4,4,0,0,"","","","","F","F","F","F","F","F","F","F","F","richg002","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6
"COL202007310","SDN",1,1,1,0,0,"X",0,2,"arenn001","R","arenn001","R","richg002","R","richg002","R","hedga001","cronj001","profj001","machm001","tatif002","phamt001","grist001","myerw001","","","","8/F78XD","F","F",5,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","78XD",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,7
"COL202007310","SDN",1,1,2,2,2,"BBFFX",0,2,"murpd006","L","murpd006","L","richg002","R","richg002","R","hedga001","cronj001","profj001","machm001","tatif002","phamt001","grist001","myerw001","","","","8/L8D","F","F",3,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"L","F","F","8D",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,8
"COL202007310","SDN",2,0,0,3,2,"CCBBBX",0,2,"phamt001","R","phamt001","R","grayj003","R","grayj003","R","woltt001","murpd006","mcmar001","arenn001","stort001","hills005","dahld001","blacc001","","","","53/G56S","T","F",7,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","56S",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,9
"COL202007310","SDN",2,0,1,2,2,"BCBSX",0,2,"profj001","L","profj001","L","grayj003","R","grayj003","R","woltt001","murpd006","mcmar001","arenn001","stort001","hills005","dahld001","blacc001","","","","5/P5","F","F",4,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"P","F","F","5",0,0,"N",0,"N",0,"N",0,0,0,0,"5","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,5,0,0,0,0,0,0,0,10
"COL202007310","SDN",2,0,2,0,2,"SCX",0,2,"myerw001","R","myerw001","R","grayj003","R","grayj003","R","woltt001","murpd006","mcmar001","arenn001","stort001","hills005","dahld001","blacc001","","","","7/F78XD","F","F",9,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","78XD",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,11
"COL202007310","SDN",2,1,0,2,0,"BBX",0,2,"mcmar001","L","mcmar001","L","richg002","R","richg002","R","hedga001","cronj001","profj001","machm001","tatif002","phamt001","grist001","myerw001","","","","S7/L7D+","T","F",4,6,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"L","F","F","7D",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,12
