"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"MIA202008052","BAL",1,0,0,0,1,"FX",0,0,"albeh001","R","albeh001","R","smitj004","R","smitj004","R","lavar001","andeb006","bertj001","alvae001","villj001","dickc002","sierm002","joycm001","","","","53/G56","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","56",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,1
"MIA202008052","BAL",1,0,1,3,2,"CBFFFBBS",0,0,"santa003","L","santa003","L","smitj004","R","smitj004","R","lavar001","andeb006","bertj001","alvae001","villj001","dickc002","sierm002","joycm001","","","","K","F","F",9,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,2
"MIA202008052","BAL",1,0,2,1,2,"CBFX",0,0,"iglej001","R","iglej001","R","smitj004","R","smitj004","R","lavar001","andeb006","bertj001","alvae001","villj001","dickc002","sierm002","joycm001","","","","4/P6M","F","F",10,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"P","F","F","6M",0,0,"N",0,"N",0,"N",0,0,0,0,"4","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,3
"MIA202008052","BAL",1,1,0,3,0,"BBBB",0,0,"villj001","L","villj001","L","wojca001","R","wojca001","R","sevep001","nuner001","albeh001","valap001","velaa001","stewd002","mullc002","santa003","","","","W","T","F",6,1,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4
"MIA202008052","BAL",1,1,0,0,0,"X",0,0,"bertj001","R","bertj001","R","wojca001","R","wojca001","R","sevep001","nuner001","albeh001","valap001","velaa001","stewd002","mullc002","santa003","villj001","","","D7/L7LD.1-3","F","F",4,2,21,"T","T",2,"F","F",0,"F","F",0,"F","F",7,"L","F","F","7LD",0,0,"N",0,"N",0,"N",2,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","wojca001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"MIA202008052","BAL",1,1,0,0,2,"SSS",0,0,"dickc002","L","dickc002","L","wojca001","R","wojca001","R","sevep001","nuner001","albeh001","valap001","velaa001","stewd002","mullc002","santa003","","bertj001","villj001","K","F","F",7,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,3,"2","","","","F","F","F","F","F","F","F","F","F","","wojca001","wojca001","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,6
"MIA202008052","BAL",1,1,1,0,1,"FX",0,0,"aguij001","R","aguij001","R","wojca001","R","wojca001","R","sevep001","nuner001","albeh001","valap001","velaa001","stewd002","mullc002","santa003","","bertj001","villj001","9/SF/L9D.3-H;2-3","F","F",10,4,2,"T","F",0,"F","T",1,"F","F",1,"F","F",9,"L","F","F","9D",0,0,"N",0,"N",0,"N",0,0,3,4,"9","","","","F","F","F","F","F","F","F","F","F","","wojca001","wojca001","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,7
"MIA202008052","BAL",1,1,2,1,1,"SBX",0,1,"andeb006","R","andeb006","R","wojca001","R","wojca001","R","sevep001","nuner001","albeh001","valap001","velaa001","stewd002","mullc002","santa003","","","bertj001","S8/G4.3-H","F","F",3,5,20,"T","T",1,"F","F",0,"F","F",1,"F","F",8,"G","F","F","4",0,0,"N",0,"N",0,"N",1,0,0,4,"","","","","F","F","F","F","F","F","F","F","F","","","wojca001","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"MIA202008052","BAL",1,1,2,0,1,"CX",0,2,"joycm001","L","joycm001","L","wojca001","R","wojca001","R","sevep001","nuner001","albeh001","valap001","velaa001","stewd002","mullc002","santa003","andeb006","","","7/F7D","F","F",9,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","7D",0,0,"N",0,"N",0,"N",0,1,0,0,"7","","","","F","F","F","F","F","F","F","F","F","wojca001","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,9
"MIA202008052","BAL",2,0,0,2,2,"BSBFFFX",0,2,"nuner001","R","nuner001","R","smitj004","R","smitj004","R","lavar001","andeb006","bertj001","alvae001","villj001","dickc002","sierm002","joycm001","","","","S8/G4M","T","F",3,4,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"G","F","F","4M",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10
