"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"MIL202008030","CHA",1,0,0,0,0,"X",0,0,"robel002","R","robel002","R","andeb004","L","andeb004","L","pinam001","smoaj001","hiurk001","gyorj001","arcio002","yelic001","garca003","gameb001","","","","S16/G6","T","F",8,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",1,"G","F","F","6",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1
"MIL202008030","CHA",1,0,0,1,1,".CBX",0,0,"moncy001","R","moncy001","R","andeb004","L","andeb004","L","pinam001","smoaj001","hiurk001","gyorj001","arcio002","yelic001","garca003","gameb001","robel002","","","D8/L8XD+.1-3","F","F",5,2,21,"T","T",2,"F","F",0,"F","F",0,"F","F",8,"L","F","F","8XD",0,0,"N",0,"N",0,"N",2,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","andeb004","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2
"MIL202008030","CHA",1,0,0,1,2,"CBFX",0,0,"abrej003","R","abrej003","R","andeb004","L","andeb004","L","pinam001","smoaj001","hiurk001","gyorj001","arcio002","yelic001","garca003","gameb001","","moncy001","robel002","63/G6.3-H;2-3","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",1,"F","F",6,"G","F","F","6",0,0,"N",0,"N",0,"N",0,0,3,4,"63","","","","F","F","F","F","F","F","F","F","F","","andeb004","andeb004","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,3
"MIL202008030","CHA",1,0,1,3,2,"BBSFBX",1,0,"grany001","R","grany001","R","andeb004","L","andeb004","L","pinam001","smoaj001","hiurk001","gyorj001","arcio002","yelic001","garca003","gameb001","","","moncy001","9/SF/F9LD.3-H","F","F",10,4,2,"T","F",0,"F","T",1,"F","F",1,"F","F",9,"F","F","F","9LD",0,0,"N",0,"N",0,"N",0,0,0,4,"9","","","","F","F","F","F","F","F","F","F","F","","","andeb004","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,4
"MIL202008030","CHA",1,0,2,3,2,"BBCCBFX",2,0,"jimee001","R","jimee001","R","andeb004","L","andeb004","L","pinam001","smoaj001","hiurk001","gyorj001","arcio002","yelic001","garca003","gameb001","","","","23/G2","F","F",7,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",2,"G","F","F","2",0,0,"N",0,"N",0,"N",0,0,0,0,"23","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,2,0,0,0,0,5
"MIL202008030","CHA",1,1,0,0,0,"X",2,0,"healr001","R","healr001","R","rodoc001","L","rodoc001","L","mccaj001","abrej003","madrn001","moncy001","garcl004","jimee001","robel002","engea001","","","","3/P3F/FL","T","F",10,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"P","F","T","3F",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,6
"MIL202008030","CHA",1,1,1,0,2,"CFS",2,0,"hiurk001","R","hiurk001","R","rodoc001","L","rodoc001","L","mccaj001","abrej003","madrn001","moncy001","garcl004","jimee001","robel002","engea001","","","","K","F","F",4,2,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,7
"MIL202008030","CHA",1,1,2,0,2,"CCFX",2,0,"yelic001","L","yelic001","L","rodoc001","L","rodoc001","L","mccaj001","abrej003","madrn001","moncy001","garcl004","jimee001","robel002","engea001","","","","D8/L8XD+","F","F",7,3,21,"T","T",2,"F","F",0,"F","F",0,"F","F",8,"L","F","F","8XD",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"MIL202008030","CHA",1,1,2,1,1,"CBX",2,0,"garca003","R","garca003","R","rodoc001","L","rodoc001","L","mccaj001","abrej003","madrn001","moncy001","garcl004","jimee001","robel002","engea001","","yelic001","","D7/L7L+.2-H","F","F",8,4,21,"T","T",2,"F","F",0,"F","F",1,"F","F",7,"L","F","F","7L",0,0,"N",0,"N",0,"N",2,0,4,0,"","","","","F","F","F","F","F","F","F","F","F","","rodoc001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9
"MIL202008030","CHA",1,1,2,1,0,"BX",2,1,"gyorj001","R","gyorj001","R","rodoc001","L","rodoc001","L","mccaj001","abrej003","madrn001","moncy001","garcl004","jimee001","robel002","engea001","","garca003","","3/P34","F","F",5,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"P","F","F","34",0,0,"N",0,"N",0,"N",0,0,2,0,"3","","","","F","F","F","F","F","F","F","F","F","","rodoc001","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,10
