"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"MIN202007280","SLN",1,0,0,1,2,"CTBX",0,0,"wongk001","L","wongk001","L","bailh001","R","bailh001","R","garvm001","sanom001","arral001","donaj001","polaj001","rosae001","buxtb001","keplm001","","","","3/G34","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","34",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,1
"MIN202007280","SLN",1,0,1,3,2,"BFBCFBB",0,0,"edmat001","L","edmat001","L","bailh001","R","bailh001","R","garvm001","sanom001","arral001","donaj001","polaj001","rosae001","buxtb001","keplm001","","","","W","F","F",5,2,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2
"MIN202007280","SLN",1,0,1,0,0,"X",0,0,"goldp001","R","goldp001","R","bailh001","R","bailh001","R","garvm001","sanom001","arral001","donaj001","polaj001","rosae001","buxtb001","keplm001","edmat001","","","7/F78D","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","78D",0,0,"N",0,"N",0,"N",0,1,0,0,"7","","","","F","F","F","F","F","F","F","F","F","bailh001","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,3
"MIN202007280","SLN",1,0,2,1,1,"FBX",0,0,"dejop001","R","dejop001","R","bailh001","R","bailh001","R","garvm001","sanom001","arral001","donaj001","polaj001","rosae001","buxtb001","keplm001","edmat001","","","9/F9D","F","F",6,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"F","F","F","9D",0,0,"N",0,"N",0,"N",0,1,0,0,"9","","","","F","F","F","F","F","F","F","F","F","bailh001","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,4
"MIN202007280","SLN",1,1,0,1,2,"CFBFX",0,0,"keplm001","L","keplm001","L","martc006","R","martc006","R","moliy001","goldp001","wongk001","edmat001","dejop001","oneit001","badeh001","fowld001","","","","5/P5F/FL","T","F",9,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"P","F","T","5F",0,0,"N",0,"N",0,"N",0,0,0,0,"5","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,5,0,0,0,0,0,0,0,5
"MIN202007280","SLN",1,1,1,2,2,"BBCSX",0,0,"donaj001","R","donaj001","R","martc006","R","martc006","R","moliy001","goldp001","wongk001","edmat001","dejop001","oneit001","badeh001","fowld001","","","","S14/G34","F","F",5,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",1,"G","F","F","34",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6
"MIN202007280","SLN",1,1,1,1,1,"C*BX",0,0,"polaj001","L","polaj001","L","martc006","R","martc006","R","moliy001","goldp001","wongk001","edmat001","dejop001","oneit001","badeh001","fowld001","donaj001","","","S8/L8.1-2","F","F",6,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"L","F","F","8",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","martc006","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7
"MIN202007280","SLN",1,1,1,0,0,"2",0,0,"cruzn002","R","cruzn002","R","martc006","R","martc006","R","moliy001","goldp001","wongk001","edmat001","dejop001","oneit001","badeh001","fowld001","polaj001","donaj001","","PO2(E1/TH).2-3;1-2","F","F",10,4,8,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",1,1,"T",0,"N",0,"N",0,2,3,0,"","","E1","","F","F","F","F","F","F","F","T","F","martc006","martc006","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"MIN202007280","SLN",1,1,1,2,0,"2.BBX",0,0,"cruzn002","R","cruzn002","R","martc006","R","martc006","R","moliy001","goldp001","wongk001","edmat001","dejop001","oneit001","badeh001","fowld001","","polaj001","donaj001","3/P3F/FL","F","F",10,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"P","F","T","3F",0,0,"N",0,"N",0,"N",0,0,2,3,"3","","","","F","F","F","F","F","F","F","F","F","","martc006","martc006","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,9
"MIN202007280","SLN",1,1,2,3,0,"VVVV",0,0,"rosae001","L","rosae001","L","martc006","R","martc006","R","moliy001","goldp001","wongk001","edmat001","dejop001","oneit001","badeh001","fowld001","","polaj001","donaj001","IW","F","F",7,5,15,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,3,"","","","","F","F","F","F","F","F","F","F","F","","martc006","martc006","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10
