"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"NYA202007310","BOS",1,0,0,3,2,"BBCSFB*S",0,0,"pillk001","R","pillk001","R","montj004","L","montj004","L","higak001","voitl001","lemad001","urshg001","torrg001","gardb001","hicka001","judga001","","","","K","T","F",9,1,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,1
"NYA202007310","BOS",1,0,1,1,2,"BSFX",0,0,"martj006","R","martj006","R","montj004","L","montj004","L","higak001","voitl001","lemad001","urshg001","torrg001","gardb001","hicka001","judga001","","","","43/G4","F","F",10,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","4",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,2
"NYA202007310","BOS",1,0,2,0,0,"X",0,0,"dever001","L","dever001","L","montj004","L","montj004","L","higak001","voitl001","lemad001","urshg001","torrg001","gardb001","hicka001","judga001","","","","3/G3","F","F",5,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","3",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,3
"NYA202007310","BOS",1,1,0,1,2,"CBSX",0,0,"lemad001","R","lemad001","R","weber001","R","weber001","R","vazqc001","chavm001","peraj003","dever001","bogax001","verda001","bradj001","pillk001","","","","53/G56","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","56",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,4
"NYA202007310","BOS",1,1,1,3,2,"BBCFBFX",0,0,"judga001","R","judga001","R","weber001","R","weber001","R","vazqc001","chavm001","peraj003","dever001","bogax001","verda001","bradj001","pillk001","","","","63/G6D","F","F",9,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","6D",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,5
"NYA202007310","BOS",1,1,2,3,2,"BFBSBFX",0,0,"torrg001","R","torrg001","R","weber001","R","weber001","R","vazqc001","chavm001","peraj003","dever001","bogax001","verda001","bradj001","pillk001","","","","S7/L7","F","F",6,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"L","F","F","7",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6
"NYA202007310","BOS",1,1,2,0,1,"CX",0,0,"stanm004","R","stanm004","R","weber001","R","weber001","R","vazqc001","chavm001","peraj003","dever001","bogax001","verda001","bradj001","pillk001","torrg001","","","64(1)/FO/G6+.B-1","F","F",10,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","6",0,0,"N",0,"N",0,"N",1,0,0,0,"","64","","","F","F","F","F","F","F","F","F","F","weber001","","","F","F","F","F","F","","","","",0,4,0,0,6,0,0,0,0,7
"NYA202007310","BOS",2,0,0,3,1,"CBBBX",0,0,"bogax001","R","bogax001","R","montj004","L","montj004","L","higak001","voitl001","lemad001","urshg001","torrg001","gardb001","hicka001","judga001","","","","4/P89S","T","F",6,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"P","F","F","89S",0,0,"N",0,"N",0,"N",0,0,0,0,"4","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,8
"NYA202007310","BOS",2,0,1,3,1,"BSBBX",0,0,"vazqc001","R","vazqc001","R","montj004","L","montj004","L","higak001","voitl001","lemad001","urshg001","torrg001","gardb001","hicka001","judga001","","","","6/P56D","F","F",2,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"P","F","F","56D",0,0,"N",0,"N",0,"N",0,0,0,0,"6","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,9
"NYA202007310","BOS",2,0,2,2,2,"CCFBFBFX",0,0,"verda001","L","verda001","L","montj004","L","montj004","L","higak001","voitl001","lemad001","urshg001","torrg001","gardb001","hicka001","judga001","","","","13/G1S","F","F",7,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","1S",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,10
