"GAME_ID","AWAY_TEAM_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","AWAY_SCORE_CT","HOME_SCORE_CT","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","POS2_FLD_ID","POS3_FLD_ID","POS4_FLD_ID","POS5_FLD_ID","POS6_FLD_ID","POS7_FLD_ID","POS8_FLD_ID","POS9_FLD_ID","BASE1_RUN_ID","BASE2_RUN_ID","BASE3_RUN_ID","EVENT_TX","LEADOFF_FL","PH_FL","BAT_FLD_CD","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","H_CD","SH_FL","SF_FL","EVENT_OUTS_CT","DP_FL","TP_FL","RBI_CT","WP_FL","PB_FL","FLD_CD","BATTEDBALL_CD","BUNT_FL","FOUL_FL","BATTEDBALL_LOC_TX","ERR_CT","ERR1_FLD_CD","ERR1_CD","ERR2_FLD_CD","ERR2_CD","ERR3_FLD_CD","ERR3_CD","BAT_DEST_ID","RUN1_DEST_ID","RUN2_DEST_ID","RUN3_DEST_ID","BAT_PLAY_TX","RUN1_PLAY_TX","RUN2_PLAY_TX","RUN3_PLAY_TX","RUN1_SB_FL","RUN2_SB_FL","RUN3_SB_FL","RUN1_CS_FL","RUN2_CS_FL","RUN3_CS_FL","RUN1_PK_FL","RUN2_PK_FL","RUN3_PK_FL","RUN1_RESP_PIT_ID","RUN2_RESP_PIT_ID","RUN3_RESP_PIT_ID","GAME_NEW_FL","GAME_END_FL","PR_RUN1_FL","PR_RUN2_FL","PR_RUN3_FL","REMOVED_FOR_PR_RUN1_ID","REMOVED_FOR_PR_RUN2_ID","REMOVED_FOR_PR_RUN3_ID","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD","PO1_FLD_CD","PO2_FLD_CD","PO3_FLD_CD","ASS1_FLD_CD","ASS2_FLD_CD","ASS3_FLD_CD","ASS4_FLD_CD","ASS5_FLD_CD","EVENT_ID"
"PIT202007270","MIL",1,0,0,1,0,"BX",0,0,"cainl001","R","cainl001","R","braus002","L","braus002","L","stalj001","bellj005","fraza001","morac001","newmk001","reynb001","dysoj001","osunj001","","","","53/G5","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","5",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,1
"PIT202007270","MIL",1,0,1,1,1,"BCX",0,0,"hiurk001","R","hiurk001","R","braus002","L","braus002","L","stalj001","bellj005","fraza001","morac001","newmk001","reynb001","dysoj001","osunj001","","","","S8/G6M","F","F",4,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"G","F","F","6M",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2
"PIT202007270","MIL",1,0,1,1,2,"CCBC",0,0,"yelic001","L","yelic001","L","braus002","L","braus002","L","stalj001","bellj005","fraza001","morac001","newmk001","reynb001","dysoj001","osunj001","hiurk001","","","K","F","F",7,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"2","","","","F","F","F","F","F","F","F","F","F","braus002","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,3
"PIT202007270","MIL",1,0,2,0,2,"SSX",0,0,"braur002","R","braur002","R","braus002","L","braus002","L","stalj001","bellj005","fraza001","morac001","newmk001","reynb001","dysoj001","osunj001","hiurk001","","","13/G1S-","F","F",10,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","1S",0,0,"N",0,"N",0,"N",0,1,0,0,"13","","","","F","F","F","F","F","F","F","F","F","braus002","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,4
"PIT202007270","MIL",1,1,0,1,1,"CBX",0,0,"fraza001","L","fraza001","L","housa001","R","housa001","R","pinam001","smoaj001","hiurk001","gyorj001","arcio002","yelic001","cainl001","garca003","","","","31/G3","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","3",0,0,"N",0,"N",0,"N",0,0,0,0,"31","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,1,0,0,3,0,0,0,0,5
"PIT202007270","MIL",1,1,1,3,1,"BBBCB",0,0,"newmk001","R","newmk001","R","housa001","R","housa001","R","pinam001","smoaj001","hiurk001","gyorj001","arcio002","yelic001","cainl001","garca003","","","","W","F","F",6,2,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6
"PIT202007270","MIL",1,1,1,0,1,"F>B",0,0,"bellj005","L","bellj005","L","housa001","R","housa001","R","pinam001","smoaj001","hiurk001","gyorj001","arcio002","yelic001","cainl001","garca003","newmk001","","","CS2(26)","F","F",3,3,6,"F","F",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"","26","","","F","F","F","T","F","F","F","F","F","housa001","","","F","F","F","F","F","","","","",0,6,0,0,2,0,0,0,0,7
"PIT202007270","MIL",1,1,2,2,2,"F>B.SBX",0,0,"bellj005","L","bellj005","L","housa001","R","housa001","R","pinam001","smoaj001","hiurk001","gyorj001","arcio002","yelic001","cainl001","garca003","","","","23/G2-","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",2,"G","F","F","2",0,0,"N",0,"N",0,"N",0,0,0,0,"23","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,2,0,0,0,0,8
"PIT202007270","MIL",2,0,0,3,2,"BCBFBB",0,0,"gyorj001","R","gyorj001","R","braus002","L","braus002","L","stalj001","bellj005","fraza001","morac001","newmk001","reynb001","dysoj001","osunj001","","","","W","T","F",5,5,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,9
"PIT202007270","MIL",2,0,0,3,2,"FBFBBB",0,0,"garca003","R","garca003","R","braus002","L","braus002","L","stalj001","bellj005","fraza001","morac001","newmk001","reynb001","dysoj001","osunj001","gyorj001","","","W.1-2","F","F",9,6,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","braus002","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10
